strain 1,stress 1,strain 2,stress 2,strain 3,stress 3,strain 4,stress 4,strain 5,stress 5
0,-0.257548544,0,-0.206958408,0,-0.246050738,0,-0.34953099,0,-0.38862332
0,-0.264447437,0,-0.206958408,0,-0.246050738,0,-0.342632097,0,-0.381724951
0,-0.259848,0,-0.202358971,0,-0.241451825,0,-0.340332641,0,-0.377125515
0,-0.257548544,0,-0.200059515,0,0.774952427,0,-0.340332641,0,-0.381724951
0,0.708265049,0,0.779555534,0,0.262152175,0,0.731264854,0,0.79794699
0,0.172469184,0,0.181667534,0,0.257552738,0,0.259852194,0,0.252953825
0,0.165570291,0,0.18396699,0,0.252953825,0,0.259852194,0,0.252953825
0,0.163270835,0,0.181667534,0,0.250654369,0,0.257552738,0,0.250654369
0,0.163270835,0,0.181667534,0.003833117,0.255253282,0,0.259852194,0,0.246054932
0,0.160971379,0,0.181667534,0.00555,0.252953825,0.00285235,0.257552738,0,0.246054932
0.00383805,0.163270835,0.000460375,0.177068097,0.010955433,0.257552738,0.004371233,0.259852194,0.0022403,0.241456019
0.006116933,0.156372466,0.00085343,0.179368078,0.00849545,0.264451631,0.012105067,0.250654369,0.002517733,0.248354388
0.007400267,0.154072485,0.002724983,0.18396699,0.004607117,0.27135,0.01296785,0.257552738,0.002618633,0.248354388
0.013200267,0.147174117,0.009556767,0.177068097,0.002384617,0.278248893,0.012290067,0.264451631,0.0093763,0.239156563
0.01620305,0.140275223,0.0061801,0.188565903,0.001183775,0.294345612,0.01167785,0.257552738,0.011445283,0.248354388
0.016712,0.147174117,-0.0020049,0.19316534,0.000160442,0.301244505,0.0108534,0.250654369,0.010266067,0.241456019
0.018503667,0.140275223,-0.0024649,0.200063709,-0.000815392,0.301244505,0.008668633,0.257552738,0.0106858,0.250654369
0.018748667,0.149473573,-0.005384067,0.206962602,-0.002256217,0.308143398,0.007130633,0.262152175,0.0036153,0.259852194
0.017232,0.14257468,-0.007176567,0.216160951,-0.00290955,0.317341223,0.0069284,0.266751087,0.000838625,0.266751087
0.016887167,0.147174117,-0.009093233,0.227658757,-0.003999833,0.326539573,0.005126733,0.273649981,0.000316958,0.273649981
0.017158167,0.151773029,-0.009518233,0.234557126,-0.004217883,0.335737922,0.004530067,0.282847806,-0.000744708,0.28054835
0.017858667,0.160971379,-0.0083149,0.241456019,-0.005946217,0.344936272,0.0040634,0.292046155,-0.000867208,0.289746699
0.017597,0.165570291,-0.0073199,0.250654369,-0.006914217,0.351834641,0.002549517,0.298945049,-0.001798033,0.301244505
0.0174,0.167870272,-0.007843233,0.262152175,-0.007156217,0.36103299,0.001871733,0.301244505,-0.0021632,0.308143398
0.017325333,0.174768641,-0.008628233,0.273649981,-0.009835667,0.367931883,0.001241737,0.305843417,-0.0033097,0.319641204
0.0156686,0.190865883,-0.009176567,0.28054835,-0.01142455,0.377130233,0.000333627,0.312742311,-0.003917533,0.326539573
0.0146986,0.197764252,-0.009411567,0.289746699,-0.012773117,0.386328058,3.40E-06,0.324240117,-0.004178033,0.333438466
0.013258267,0.209262058,-0.0105699,0.298945049,-0.01376955,0.397825864,-0.001373152,0.333438466,-0.005136367,0.342636816
0.0130911,0.216160951,-0.0114239,0.305843417,-0.015202883,0.407024214,-0.002572033,0.340336835,-0.0061852,0.351834641
0.012430383,0.229958214,-0.013151567,0.32194066,-0.015561233,0.413923107,-0.003534933,0.354134621,-0.0066347,0.356434078
0.011976933,0.239156563,-0.014646067,0.328839029,-0.018152667,0.423121456,-0.004259933,0.363332447,-0.00782805,0.365632427
0.011647933,0.246054932,-0.017138167,0.347235728,-0.0189515,0.432319282,-0.004592367,0.372530796,-0.00835805,0.377130233
0.011506933,0.255253282,-0.018840333,0.354134621,-0.0200375,0.443817087,-0.004713267,0.381729146,-0.00920305,0.384028602
0.010236267,0.269050544,-0.019569833,0.363332447,-0.0210045,0.453015437,-0.00554715,0.388628039,-0.009566367,0.390927495
0.009910267,0.278248893,-0.0217215,0.374830252,-0.022585833,0.464513243,-0.005869367,0.397825864,-0.009748033,0.400125845
0.009477833,0.287447243,-0.023468167,0.386328058,-0.022981167,0.476011049,-0.006298267,0.404724757,-0.01054305,0.41162365
0.009245933,0.294345612,-0.024299833,0.393226951,-0.025780167,0.487508854,-0.006773267,0.41162365,-0.011087483,0.420821476
0.009111933,0.303543961,-0.027379833,0.407024214,-0.0265245,0.496707204,-0.007442933,0.420821476,-0.011359717,0.434619262
0.008116383,0.310442854,-0.029792167,0.418522019,-0.027605833,0.505905553,-0.007729933,0.430019825,-0.01208305,0.448416524
0.007022267,0.319641204,-0.030998167,0.425420913,-0.028586167,0.517403359,-0.009074533,0.441517631,-0.012469717,0.45991433
0.006340267,0.326539573,-0.034489833,0.443817087,-0.0303555,0.533499029,-0.009833433,0.448416524,-0.01266305,0.471412136
0.004896717,0.338037379,-0.036932167,0.457614874,-0.030797833,0.5427,-0.01067665,0.464513243,-0.013581367,0.485209398
0.0036866,0.347235728,-0.038153167,0.466812699,-0.033835,0.561096699,-0.011543267,0.476011049,-0.01389915,0.492108291
